price,xgb,lightgbm
5.8e+08,671800000,600400000
600000000.000001,552700000,545800000
479999999.999999,750200000,791200000
8e+08,781100000,7.93e+08
950000000.000001,734900000,765200000
560000000.000001,619300000,684500000
449999999.999999,508800000,505300000
720000000.000001,779600000,781800000
720000000.000001,719600000,733600000
555000000.000001,512600000,492900000
930000000.000001,681400000,662700000
671807000.000001,459200000,458500000
363643000,361700000,374500000
550000000.000001,366600000,379500000
369999999.999999,514700000,470500000
5.7e+08,559100000,538100000
900000000.000001,1007500000,931500000
399999999.999999,438400000,4.27e+08
1.25e+09,1197200000,1150300000
3.6e+08,479900000,491300000
9.6e+08,1003500000,1020300000
1.25e+09,1153900000,1188300000
1.28e+09,1095100000,1081900000
550000000.000001,722200000,725300000
3e+08,365900000,365600000
1.2e+09,985100000,1033100000
1.2e+09,985100000,1033100000
449999999.999999,494700000,485400000
8e+08,732100000,753100000
390000000.000001,424800000,421400000
479999999.999999,511800000,496800000
387000000.000001,404700000,388700000
490000000.000001,537600000,557800000
340000000.000001,471700000,442500000
8e+08,738500000,7.35e+08
410000000.000001,4.11e+08,407800000
620000000.000001,615800000,609700000
1.42e+09,1298800000,1391500000
7.5e+08,557200000,589600000
449999999.999999,466600000,474700000
550000000.000001,653500000,645700000
449999999.999999,466600000,474700000
950000000.000001,983800000,1030900000
920000000.000001,823900000,845400000
1.1e+09,1144800000,1123900000
675000000.000001,755900000,735300000
1.5e+09,1295400000,1304600000
1e+09,642400000,660700000
3.2e+08,406400000,391400000
3.85e+08,397300000,403900000
349999999.999999,365800000,381500000
3.6e+08,342900000,358100000
600000000.000001,537600000,5.26e+08
479999999.999999,446500000,418300000
6.8e+08,684600000,648300000
5.7e+08,451900000,455800000
510000000.000001,434900000,4.31e+08
3.1e+08,357600000,375700000
410000000.000001,516500000,5.19e+08
340000000.000001,335900000,344300000
390000000.000001,405900000,395800000
5.7e+08,489600000,481700000
449999999.999999,473800000,4.6e+08
3.8e+08,405600000,398600000
514999999.999999,384400000,389600000
6.5e+08,639700000,612900000
449999999.999999,454200000,4.62e+08
974999999.999999,920600000,955600000
974999999.999999,920600000,955600000
720000000.000001,737200000,724900000
3e+08,504600000,449700000
6.8e+08,913700000,884400000
1.3e+09,847800000,836300000
979999999.999999,1073600000,1048700000
7e+08,782500000,755100000
1.1e+09,1027800000,1051400000
3.39e+08,330100000,322500000
3.8e+08,376600000,374900000
5.8e+08,494300000,524500000
531000000.000001,527100000,515300000
630000000.000001,495300000,493900000
410000000.000001,533400000,535700000
449999999.999999,585200000,532400000
3.08e+08,335200000,329200000
3.8e+08,434200000,429400000
3.2e+08,396900000,402200000
340000000.000001,331800000,325500000
449999999.999999,519400000,5.07e+08
4.3e+08,388300000,396300000
3.2e+08,340300000,334900000
369999999.999999,388700000,375700000
7.5e+08,524900000,554400000
550000000.000001,423700000,420500000
6.5e+08,688700000,709800000
585000000.000001,707200000,693600000
550000000.000001,574700000,573400000
1.25e+09,981600000,960800000
8.4e+08,692900000,746500000
7e+08,7.37e+08,718800000
4.4e+08,507100000,517700000
5.2e+08,486400000,492300000
640000000.000001,6.76e+08,624400000
1.02e+09,958700000,961700000
1.25e+09,742900000,757800000
7e+08,792100000,773100000
550000000.000001,564600000,555300000
849999999.999999,900300000,878900000
720000000.000001,613200000,576900000
1.39e+09,1253700000,1265400000
7e+08,457100000,438900000
1.05e+09,1074400000,1053400000
889999999.999999,694700000,650500000
1.3e+09,1169800000,1136400000
4.6e+08,559500000,5.68e+08
748999999.999999,1127600000,1056700000
1.3e+09,1306900000,1265900000
1.5e+09,1400500000,1450500000
4.3e+08,403400000,405600000
3.85e+08,452900000,454500000
374999999.999999,396600000,390600000
4.6e+08,501400000,504400000
1.49e+09,1266100000,1326400000
355000000.000001,384600000,400700000
4.65e+08,405100000,405600000
514999999.999999,504900000,493100000
447999999.999999,406400000,407900000
3.2e+08,393100000,389400000
6.5e+08,6.2e+08,619900000
514999999.999999,503600000,4.98e+08
630000000.000001,545500000,563900000
5.3e+08,6.06e+08,612600000
3e+08,416200000,411200000
410000000.000001,400200000,423600000
357350000,389200000,374600000
3.1e+08,3.15e+08,316500000
1.18e+09,805500000,9.03e+08
479999999.999999,426500000,428400000
448845000,467200000,441100000
3.93e+08,405900000,426700000
3.15e+08,349800000,350800000
790000000.000001,698100000,729800000
4.6e+08,415100000,421700000
390000000.000001,404800000,395800000
349999999.999999,344600000,358300000
349999999.999999,421300000,422600000
449999999.999999,472500000,460100000
4.45e+08,457900000,461900000
349999999.999999,344600000,358300000
349999999.999999,344600000,358300000
3.8e+08,389700000,392900000
3.8e+08,347600000,363600000
8.2e+08,875100000,873500000
7.5e+08,620600000,626500000
3.25e+08,343300000,339700000
5.2e+08,594200000,6.01e+08
5.99e+08,714100000,738400000
419999999.999999,426800000,437600000
410000000.000001,405800000,400500000
7e+08,717800000,714500000
5.2e+08,483500000,485600000
720000000.000001,532100000,564800000
3.95e+08,416200000,4.05e+08
620000000.000001,575700000,578600000
479999999.999999,590500000,603200000
560000000.000001,659500000,656600000
5.2e+08,486300000,488100000
4.6e+08,496500000,478900000
979999999.999999,1022600000,1020300000
7.5e+08,817500000,811600000
7.65e+08,689300000,721400000
6.7e+08,797200000,757300000
849999999.999999,719700000,704400000
7.1e+08,524900000,529200000
369999999.999999,437500000,458100000
470000000.000001,485800000,483300000
6.7e+08,544900000,549500000
829999999.999999,770900000,788700000
6.59e+08,763700000,769200000
3.3e+08,338100000,340700000
5e+08,458800000,440700000
6.5e+08,651400000,659300000
550000000.000001,572700000,571500000
5.2e+08,517100000,512700000
1.1e+09,1135200000,1137700000
720000000.000001,765100000,776400000
7.5e+08,790300000,771900000
1.6e+09,1465500000,1494200000
620000000.000001,788700000,8.25e+08
900000000.000001,877100000,895500000
1.05e+09,1031600000,986400000
8e+08,898100000,940100000
6.7e+08,1008100000,1009100000
1.4e+09,1212800000,1294100000
900000000.000001,678200000,739600000
410000000.000001,390200000,391400000
1.2e+09,1105600000,1168700000
900000000.000001,939300000,934500000
449999999.999999,666700000,762800000
1.4e+09,1207400000,1247800000
5.2e+08,434400000,469300000
5e+08,486500000,467900000
484999999.999999,486500000,467900000
600000000.000001,553700000,554200000
449999999.999999,684400000,563700000
7e+08,642400000,663700000
3.3e+08,450900000,433200000
3.2e+08,532700000,522600000
1.18e+09,959200000,955500000
340000000.000001,341100000,338900000
3.3e+08,351400000,363500000
4.3e+08,412200000,410900000
3.1e+08,316900000,318600000
484999999.999999,438500000,440700000
7e+08,443800000,473700000
